"","clone","replicate","lineage.id","tracking.id","n_frames","start_frame","total_path_length","final_displacement","volume","radius","sphericity","length.to.width.ratio","dry.mass","mean.speed"
"106","cloneA","1","271","271",1,48,95.854866027832,26.7827529907227,3971.31396484375,29.3095741271973,0.218257561326027,1.06799332290743,992.827575683594,0.0271016526967287
"107","cloneA","1","275","275",13,41,85.739875793457,77.1735916137695,1159.90791203426,17.4985270133385,0.272678192991477,4.02761056444815,289.976715087891,0.00517714856929767
"108","cloneA","1","276","276",2,41,4.61960458755493,4.61960458755493,1262.63256835938,14.2702140808105,0.438691437244416,2.47761574250427,315.657836914062,0.00334753934293985
"109","cloneA","1","280","280",53,42,362.635467529297,71.4198455810547,2467.92151800192,23.4616441906623,0.248235010313538,2.75855283535596,616.979811758365,0.00477744101618345
"110","cloneA","1","285","285",14,42,165.983367919922,144.876525878906,1112.22706821987,16.5579024042402,0.294534011610917,1.46890572821512,278.056504385812,0.00925171631388366
"111","cloneA","1","288","288",2,43,10.7644710540771,10.7644710540771,596.275360107422,9.79985189437865,0.465670987963676,1.57852541541828,149.068710327148,0.00780034158378839
"112","cloneA","1","289","289",2,43,9.62044715881348,9.62044715881348,1912.44750976562,20.5898132324219,0.270260259509087,1.774695617682,478.111434936524,0.00697133829817176
"113","cloneA","1","293","293",10,44,80.170539855957,70.2287139892578,2340.72438964844,25.125825881958,0.213286460936069,2.27055536093229,585.180529785156,0.00405271379794512
"114","cloneA","1","295","295",5,44,2.96535778045654,0.962786972522736,314.098272705078,8.46002769470215,0.439700621366501,1.64665803450902,78.524496459961,0.000190319560715577
"115","cloneA","1","296","296",5,44,30.128963470459,7.56320142745972,2371.05522460938,23.2256053924561,0.249839261174202,3.31917063401827,592.763232421875,0.0054581455187872
"116","cloneA","1","297","297",2,44,4.49330234527588,4.49330234527588,379.563858032227,10.525550365448,0.349567323923111,1.85256771217573,94.8908882141113,0.0032560161780566
"117","cloneA","1","299","299",6,45,36.9311332702637,11.4211616516113,1045.01607259115,15.5138996442159,0.321766709287961,2.8723787015291,261.253784179687,0.0050103843677789
"118","cloneA","1","300","300",9,45,69.4424667358398,59.6548385620117,1136.65335422092,17.1578869289822,0.277058069904645,3.46058929567773,284.163070678711,0.00511435186490416
"119","cloneA","1","303","303",7,46,35.2569274902344,21.5308074951172,1335.06338936942,19.3969358716692,0.242130002805165,1.73415218641043,333.765546526228,0.00425767130218446
"120","cloneA","1","304","304",52,46,339.781982421875,196.301116943359,2003.43325101412,21.7265470944918,0.25178727794152,3.23844849071873,500.857845599835,0.00409411541962375
"121","cloneA","1","306","306",3,46,45.8808326721191,45.8725814819336,1186.40568033854,18.5638256072998,0.241983711719513,3.73207560269034,296.601145426432,0.0166234900243581
"122","cloneA","1","308","308",3,47,14.2984590530396,13.7873754501343,1257.93994140625,19.443198521932,0.228000894188881,2.1240959742133,314.484700520833,0.00517975515685976
"123","cloneA","1","309","309",4,47,20.7391815185547,15.745210647583,906.557220458984,14.4872899055481,0.334624342620373,3.13636690030699,226.639087677002,0.00500935397576541
"124","cloneA","1","310","310",4,47,35.092845916748,34.2359580993652,352.02855682373,8.84535336494446,0.471429541707039,1.04067272037871,88.0070571899414,0.00847430325423678
"125","cloneA","1","311","311",9,47,88.524787902832,4.81060647964478,2031.25610351563,22.6931722429064,0.234377576245202,2.14955582935349,507.813561333551,0.00661042518913746
"126","cloneA","1","314","314",3,48,37.820987701416,37.4743537902832,1118.73111979167,17.1328353881836,0.273940145969391,2.33548013605276,279.682535807292,0.00834423699416218
"127","cloneA","1","315","315",8,48,56.6330528259277,48.7611465454102,970.163185119629,16.433037519455,0.271699402481318,1.67969188319931,242.540575027466,0.00586096205682094
"128","cloneA","1","316","316",4,48,27.1745376586914,27.0946578979492,1155.48962402344,18.6704602241516,0.235467247664928,1.67107306932657,288.872138977051,0.00485364541721841
"129","cloneA","1","317","317",9,48,72.7223510742188,46.9985046386719,1711.19841851129,18.5535055796305,0.320100049177806,2.69860552898418,427.799207899306,0.00555031608382706
"130","cloneA","1","319","319",4,49,50.7442092895508,19.4374141693115,1832.23098754883,18.9731049537659,0.299875896424055,1.49646630957775,458.057327270508,0.012257056000332
"131","cloneA","1","320","320",5,49,29.8061294555664,27.5595016479492,1108.716015625,17.1794128417969,0.270210742950439,4.8132671859549,277.178741455078,0.00539966131327674
"132","cloneA","1","323","323",12,50,117.28426361084,97.8184585571289,1140.09823608399,16.8838222026825,0.289582760383685,1.6682408240132,285.024291992188,0.0069394412831488
"133","cloneA","1","324","324",4,50,47.0924835205078,45.6166915893555,1259.73416137695,19.2331809997559,0.234973177313805,3.05870078647929,314.933242797852,0.0113749957333009
