"clone","replicate","lineage.id","tracking.id","n_frames","start_frame","total_path_length","final_displacement","calculated_displacement","lineage_rootcell","left_censored","displacement_equal","lineage_equal"
"cloneA","3","1121","1121",3,226,26.2198181152344,10.6983890533447,10.6983889692883,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1122","1122",2,226,10.9791374206543,10.9791374206543,10.9791376480292,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1125","1125",1,227,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1127","1127",15,227,142.685745239258,138.592803955078,138.592805091029,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1128","1128",36,227,323.986328125,264.518493652344,264.518491965851,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1129","1129",2,227,15.5383443832397,15.5383443832397,15.5383446035149,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1130","1130",5,227,40.2345924377441,39.5689315795898,39.5689323326877,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1131","1131",2,227,3.64485335350037,3.64485335350037,3.64485342231055,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1132","1132",2,227,1.298171043396,1.298171043396,1.29817109949956,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1133","1133",10,227,51.2106094360352,31.9223232269287,31.9223225453551,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1134","1134",16,227,12.5418167114258,0.143296241760254,0.143296249172025,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1135","1135",14,227,81.429084777832,60.9445686340332,60.9445674161737,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1138","1138",1,228,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1140","1140",8,228,77.4609680175781,76.6097946166992,76.6097960621,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1144","1144",2,228,12.0042657852173,12.0042657852173,12.0042654445185,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1147","1147",1,229,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1148","1148",15,229,122.799903869629,82.4378356933594,82.4378375497857,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1149","1149",35,229,159.5546875,121.617156982422,121.617159076755,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1152","1152",35,229,289.991546630859,275.297637939453,275.297652861531,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1154","1154",32,230,231.925048828125,122.459281921387,122.459283591138,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1155","1155",1,230,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1156","1156",1,230,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1157","1157",18,230,75.0721664428711,41.5629501342773,41.5629511914915,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1158","1158",2,230,0.420903533697128,0.420903533697128,0.420903522262414,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1160","1160",32,231,189.606918334961,162.166290283203,162.166290485415,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1161","1161",15,231,87.3028335571289,77.8623962402344,77.8623926372056,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1162","1162",18,231,64.3225402832031,59.7953948974609,59.7953959243702,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1163","1163",1,231,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1164","1164",5,231,28.167594909668,18.1974906921387,18.1974907317409,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1166","1166",1,231,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1167","1167",1,231,0,0,0,FALSE,TRUE,TRUE,TRUE
"cloneA","3","1169","1169",20,232,126.628257751465,123.21802520752,123.218022049543,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1170","1170",3,232,28.6906909942627,28.6862659454346,28.6862656576706,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1171","1171",33,232,294.270324707031,249.623077392578,249.623084704164,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1172","1172",30,232,348.231658935547,298.673248291016,298.673243242906,FALSE,TRUE,FALSE,TRUE
"cloneA","3","1173","1173",27,232,68.8539886474609,53.1492500305176,53.1492502317764,FALSE,TRUE,FALSE,TRUE
