clone,replicate,LID,TID,track.duration,track.length,meandering.index,euclidean.distance,mean.speed,track.present.at.start.or.end,track.never.divides,cell.line,tracking.id,lineage.id,n_frames,start_frame,total_path_length,final_displacement,calculated_displacement,lineage_rootcell,left_censored,displacement_equal,lineage_equal
cloneA,1,4,5,1495,702.706,0.817628397,574.5523803,0.470037458,FALSE,FALSE,A1,1230,1230,80,158,699.3121948,428.8816528,428.881642,FALSE,TRUE,FALSE,TRUE
cloneB,2,4,5,1495,702.706,0.817628397,574.5523803,0.470037458,FALSE,FALSE,A1,923,923,49,34,299.3524475,67.60063171,67.60063054,FALSE,TRUE,FALSE,TRUE
cloneA,1,4,6,1587,834.639,0.308581491,257.5541468,0.525922495,FALSE,FALSE,A1,1679,1679,36,205,386.3908386,257.0051575,257.0051475,FALSE,TRUE,FALSE,TRUE
cloneB,2,4,6,1587,834.639,0.308581491,257.5541468,0.525922495,FALSE,FALSE,A1,1999,1999,6,89,35.65706635,32.66423416,32.66423388,FALSE,TRUE,FALSE,TRUE
cloneA,1,4,7,1725,855.568,0.509369844,435.8005387,0.495981449,FALSE,FALSE,A1,1230,1230,80,158,699.3121948,428.8816528,428.881642,FALSE,TRUE,FALSE,TRUE
cloneB,2,4,7,1725,855.568,0.509369844,435.8005387,0.495981449,FALSE,FALSE,A1,3676,3676,19,171,183.0992737,122.5695877,122.5695873,FALSE,TRUE,FALSE,TRUE
cloneA,1,4,8,2415,503.517,0.505795067,254.6764146,0.208495652,FALSE,FALSE,A1,1473,1473,71,184,283.3168335,254.8101196,254.8101174,FALSE,TRUE,FALSE,TRUE
cloneB,2,4,8,2415,503.517,0.505795067,254.6764146,0.208495652,FALSE,FALSE,A1,6495,6495,7,255,108.1575928,54.4325943,54.43259455,FALSE,TRUE,FALSE,TRUE
cloneA,1,4,9,2438,1176.674,0.320351,376.9486928,0.482639048,TRUE,FALSE,A1,1144,1144,101,149,493.4305115,374.3514709,374.3514736,FALSE,TRUE,FALSE,TRUE
cloneB,2,4,9,2438,1176.674,0.320351,376.9486928,0.482639048,TRUE,FALSE,A1,152,152,7,4,193.1373749,94.66114807,94.66115007,FALSE,TRUE,FALSE,TRUE
cloneA,1,4,10,1886,774.832,0.530973059,411.4149171,0.41083351,FALSE,FALSE,A1,885,885,110,121,468.0360107,418.9890747,418.9890644,FALSE,TRUE,FALSE,TRUE
cloneB,2,4,10,1886,774.832,0.530973059,411.4149171,0.41083351,FALSE,FALSE,A1,4276,4276,26,192,226.969101,38.72686386,38.72686272,FALSE,TRUE,FALSE,TRUE
cloneA,1,4,11,2162,992.601,0.434706335,431.4899424,0.459112396,FALSE,FALSE,A1,1230,1230,80,158,699.3121948,428.8816528,428.881642,FALSE,TRUE,FALSE,TRUE
cloneB,2,4,11,2162,992.601,0.434706335,431.4899424,0.459112396,FALSE,FALSE,A1,6298,6298,9,249,167.569931,60.18392181,60.18392103,FALSE,TRUE,FALSE,TRUE
cloneA,1,4,12,391,186.532,0.603688278,112.6071819,0.477063939,TRUE,FALSE,A1,1818,1818,25,223,145.1620636,113.4540329,113.4540307,FALSE,TRUE,FALSE,TRUE
cloneB,2,4,12,391,186.532,0.603688278,112.6071819,0.477063939,TRUE,FALSE,A1,4859,4859,26,210,180.9091797,119.6839066,119.6839097,FALSE,TRUE,FALSE,TRUE
cloneA,1,4,13,391,178.361,0.146025477,26.04525003,0.45616624,TRUE,FALSE,A1,1790,1790,4,218,38.75410843,26.08480644,26.08480738,FALSE,TRUE,FALSE,TRUE
cloneB,2,4,13,391,178.361,0.146025477,26.04525003,0.45616624,TRUE,FALSE,A1,1760,1760,45,73,280.3467407,53.2070961,53.20709732,FALSE,TRUE,FALSE,TRUE
cloneA,1,4,14,2254,965.399,0.501264668,483.9204088,0.428304791,TRUE,FALSE,A1,1230,1230,80,158,699.3121948,428.8816528,428.881642,FALSE,TRUE,FALSE,TRUE
