LID,TID,tracking.id,track.length,total_path_length,euclidean.distance,final_displacement,mean.speed_manual,mean.speed_livecyte,cell.line,clone,replicate
4,5,4114,478.466,449.2527771,67.81308636,65.04605103,0.196253486,0.004915951,B2,cloneB,2
4,6,294,486.147,587.6976929,32.67372244,29.95656776,0.203238712,0.004567009,B2,cloneB,2
4,7,7,425.734,449.8522949,122.5451755,118.0953598,0.171390499,0.003515031,B2,cloneB,2
4,8,5593,162.645,162.8085022,54.43166935,56.32475662,0.186092677,0.00356958,B2,cloneB,2
4,9,1489,153.361,156.2754211,94.62885305,92.34081268,0.175470252,0.005267741,B2,cloneB,2
4,10,4210,384.749,365.2094727,38.69938792,37.54462814,0.253457839,0.003975393,B2,cloneB,2
4,11,5362,193.389,208.283493,60.23496161,60.34142685,0.205078473,0.006985318,B2,cloneB,2
4,12,3710,295.647,297.7218018,119.5380205,125.8632278,0.262330967,0.004202856,B2,cloneB,2
4,13,2829,424.611,443.5365295,53.15954971,51.6074028,0.246151304,0.006568666,B2,cloneB,2
4,14,7,451.702,449.8522949,131.7738134,118.0953598,0.280560248,0.003515031,B2,cloneB,2
4,15,2249,381.927,382.9100037,147.4998894,154.9704895,0.237221739,0.004508554,B2,cloneB,2
4,16,2755,131.393,123.2886734,30.97191064,30.65877724,0.219720736,0.004962951,B2,cloneB,2
4,17,3307,138.469,141.9933014,89.02593215,90.9285202,0.231553512,0.004254662,B2,cloneB,2
4,18,1580,77.391,78.30838013,47.25789595,46.95887756,0.140201087,0.004042623,B2,cloneB,2
4,19,6022,140.48,137.5977936,96.79417212,98.87682343,0.254492754,0.004534817,B2,cloneB,2
5,1,2784,527.904,479.4869995,14.38333126,15.76085091,0.175208762,0.004247214,B2,cloneB,2
5,2,3209,536.719,615.9634399,237.5057769,243.4496307,0.324105676,0.004211488,B2,cloneB,2
5,3,2086,877.302,649.0081177,282.9171244,246.4599457,0.312652174,0.003646225,B2,cloneB,2
5,4,4303,378.575,380.1323853,68.62186969,64.40066528,0.283789355,0.00913089,B2,cloneB,2
5,5,2191,349.457,353.5502625,141.0590488,151.8904572,0.261961769,0.002800201,B2,cloneB,2
5,6,2606,20.088,19.55090332,10.54178249,10.53136444,0.109173913,0.004230519,B2,cloneB,2
5,7,6496,50.382,50.22093582,46.53124236,46.95281219,0.273815217,0.005440914,B2,cloneB,2
6,2,2500,462.828,438.6563416,45.16607808,42.79589462,0.216375877,0.005483286,B2,cloneB,2
6,3,3719,400.609,380.6820679,90.57789559,93.4112854,0.215034353,0.003344738,B2,cloneB,2
6,4,3602,422.605,431.9007874,86.31913141,79.44223785,0.270207801,0.004411485,B2,cloneB,2
6,5,2972,625.395,578.7404785,81.93070332,84.07954407,0.286221968,0.003920289,B2,cloneB,2
6,6,1705,474.864,492.3822021,101.5762213,111.1667557,0.264695652,0.003976744,B2,cloneB,2
6,7,3183,473.92,501.2538452,131.6324135,129.9356079,0.303017903,0.003423665,B2,cloneB,2
6,8,2078,695.252,485.31604,168.172025,162.3471832,0.328568998,0.004518163,B2,cloneB,2
6,9,2078,617.138,485.31604,172.2955513,162.3471832,0.279500906,0.004518163,B2,cloneB,2
6,10,87,369.921,374.9189758,92.60129602,92.77216339,0.226528475,0.008285869,B2,cloneB,2
6,11,3178,442.46,446.1349792,186.5453403,195.1675415,0.270949173,0.004120851,B2,cloneB,2
6,12,3960,453.835,486.0917664,149.718713,153.1083527,0.193450554,0.004442038,B2,cloneB,2
6,13,3273,512.367,523.2036133,88.91660635,88.23912811,0.244800287,0.005059865,B2,cloneB,2
6,14,3960,618.527,486.0917664,153.8877737,153.1083527,0.240111413,0.004442038,B2,cloneB,2
6,15,2785,596.615,663.3664551,62.24196794,67.38182831,0.267420439,0.003762894,B2,cloneB,2
6,16,2847,45.539,45.97846603,42.20483655,43.80955124,0.282850932,0.008936948,B2,cloneB,2
6,17,6556,40.948,39.01517105,30.35380255,30.01621246,0.254335404,0.007545874,B2,cloneB,2
6,18,124,47.353,48.61006546,34.18477622,34.27383423,0.205882609,0.004074052,B2,cloneB,2
6,19,3051,33.403,34.24674225,7.106423151,6.680994511,0.16136715,0.005105029,B2,cloneB,2
6,20,2891,21.197,21.29224205,19.43288772,19.23526955,0.153601449,0.007747956,B2,cloneB,2
6,21,5289,23.684,23.59650612,9.960266061,9.771785736,0.171623188,0.002687214,B2,cloneB,2
7,1,5730,176.381,181.4346619,131.914148,137.21138,0.239648098,0.005411379,B2,cloneB,2
7,2,81,523.867,505.2237549,272.6038305,278.2064819,0.274419591,0.006144908,B2,cloneB,2
7,3,3680,467.551,474.2596741,53.68175605,53.7160759,0.294613106,0.004311772,B2,cloneB,2
7,4,1870,790.091,683.6085205,401.0644644,371.2522583,0.236908846,0.005147084,B2,cloneB,2
7,5,1870,883.507,683.6085205,343.7401789,371.2522583,0.26491964,0.005147084,B2,cloneB,2
7,6,3563,1076.962,658.6275635,77.32323245,76.08934021,0.292652717,0.006062121,B2,cloneB,2
7,7,1870,1018.203,683.6085205,397.5935283,371.2522583,0.278425759,0.005147084,B2,cloneB,2
8,1,1705,524.912,492.3822021,102.5937312,111.1667557,0.205605954,0.003976744,B2,cloneB,2
8,2,4537,526.605,610.8850098,38.00619119,42.213871,0.369288219,0.008424334,B2,cloneB,2
8,3,2135,466.623,435.0082703,271.5519558,276.0840454,0.382791632,0.003485541,B2,cloneB,2
8,4,1711,910.025,960.7420654,57.31316235,44.26781845,0.454785107,0.007254815,B2,cloneB,2
8,5,2086,654.924,649.0081177,200.6168129,246.4599457,0.323579051,0.003646225,B2,cloneB,2
8,6,3960,619.677,486.0917664,153.7690141,153.1083527,0.277757508,0.004442038,B2,cloneB,2
8,7,2078,592.305,485.31604,158.0053209,162.3471832,0.268254076,0.004518163,B2,cloneB,2
9,1,2666,158.763,156.3556671,40.45830763,38.12337875,0.168359491,0.004283581,B2,cloneB,2
9,2,3209,567.504,615.9634399,248.510697,243.4496307,0.251776398,0.004211488,B2,cloneB,2
9,3,3563,636.144,658.6275635,81.82005916,76.08934021,0.333234154,0.006062121,B2,cloneB,2
9,4,2086,905.361,649.0081177,266.7012405,246.4599457,0.322651818,0.003646225,B2,cloneB,2
9,5,715,728.045,813.8984985,25.65321422,20.86041451,0.259460086,0.00289367,B2,cloneB,2
9,6,3563,612.593,658.6275635,76.58732219,76.08934021,0.27458225,0.006062121,B2,cloneB,2
9,7,81,495.064,505.2237549,280.5785831,278.2064819,0.203061526,0.006144908,B2,cloneB,2
9,8,5688,229.277,243.9260406,182.1544767,183.3078308,0.262330664,0.006541875,B2,cloneB,2
9,9,4389,201.771,204.1862335,92.32573505,88.94195557,0.230859268,0.00423737,B2,cloneB,2
9,10,5629,119.761,119.7187347,59.85985537,59.23880386,0.173566667,0.002997535,B2,cloneB,2
9,11,3961,201.843,199.1476288,169.4980826,166.6829071,0.292526087,0.004977969,B2,cloneB,2
