,clone,replicate,tracking.id,total_path_length,final_displacement,mean.speed,,,,,,,,
320,cloneA,1,724,15.88637447,15.25573444,0.005755933,,,,,,,,
321,cloneA,1,728,9.995820045,9.995820045,0.007243348,,,,,,,,
322,cloneA,1,730,115.987709,99.1943512,0.005859035,,,,,,,,
323,cloneA,1,731,621.3228149,52.65205383,0.003525281,,,,,,,,
324,cloneA,1,740,125.8338089,120.4235458,0.006373844,,,,,,,,
325,cloneA,1,741,40.49872208,36.81361008,0.0026158,,,,,,,,
326,cloneA,1,742,40.12783051,40.0690918,0.00875163,,,,,,,,
327,cloneA,1,743,22.61147499,22.61147499,0.016385127,,,,,,,,
328,cloneA,1,745,81.43748474,43.47294235,0.005969418,,,,,,,,
329,cloneA,1,747,102.9933395,29.4412632,0.011432312,,,,,,,,
330,cloneA,1,749,43.96738434,15.22562504,0.00583778,,,,,,,,
331,cloneA,1,754,146.5437775,97.50679016,0.00645899,,,,,,,,
332,cloneA,1,756,320.3892822,130.0042877,0.003941789,,,,,,,,
333,cloneA,1,757,101.2048798,56.95560455,0.007504353,,,,,,,,
334,cloneA,1,758,12.16152096,10.42278576,0.002782692,,,,,,,,
335,cloneA,1,761,8.3051548,0.827575564,0.000118444,,,,,,,,
336,cloneA,1,762,475.6818848,88.41559601,0.003884282,,,,,,,,
337,cloneA,1,763,49.73083496,49.715065,0.018018419,,,,,,,,
338,cloneA,1,764,195.8138733,7.289501667,0.004729558,,,,,,,,
339,cloneA,1,765,139.3700562,61.35235214,0.003561623,,,,,,,,
340,cloneA,1,766,487.6856995,251.5574188,0.005076007,,,,,,,,
341,cloneA,1,767,189.4398499,158.1809845,0.005538876,,,,,,,,
342,cloneA,1,768,67.89211273,64.03044128,0.0122969,,,,,,,,
343,cloneA,1,769,179.9831543,60.44589615,0.005386716,,,,,,,,
344,cloneA,1,771,16.42577171,1.828940392,0.005951367,,,,,,,,
345,cloneA,1,782,156.5482483,129.6936646,0.004156538,,,,,,,,
346,cloneA,1,783,50.59114075,49.14456177,0.007245959,,,,,,,,
347,cloneA,1,784,8.992068291,8.16880703,0.003256845,,,,,,,,
348,cloneA,1,785,65.56942749,57.11893082,0.007919013,,,,,,,,
349,cloneA,1,790,101.2163696,53.12892151,0.008394127,,,,,,,,
350,cloneA,1,796,66.71981049,26.99510574,0.005371966,,,,,,,,
351,cloneA,1,798,65.71639252,25.6618557,0.01315314,,,,,,,,
352,cloneA,1,800,13.55701542,10.74624157,0.001672856,,,,,,,,
353,cloneA,1,803,4.878020763,4.113240242,0.001767399,,,,,,,,
354,cloneA,1,804,20.21380997,19.36086273,0.006395887,,,,,,,,
355,cloneA,1,805,4.893198967,4.400204659,0.001772898,,,,,,,,
356,cloneA,1,810,8.995923042,8.995923042,0.003259392,,,,,,,,
357,cloneA,1,811,167.0034943,51.27341843,0.005261389,,,,,,,,
